srno,covidCH,logcovidCH,covidUS,logcovidUS,covidIRN,logcovidIRN
1,1700,7.43838353004431,1700,7.43838353004431,1700,7.43838353004431
2,1701.23975183464,7.43911253004431,2267.90444027924,7.72661153004431,1902.73105421622,7.55104553004431
3,1702.48040777787,7.43984153004431,3025.52385308136,8.01483953004431,2129.63850863457,7.66370753004431
4,1703.72196848904,7.44057053004431,4036.23469445529,8.30306753004431,2383.60548507866,7.77636953004431
5,1704.96443462795,7.44129953004431,5384.58505033194,8.59129553004431,2667.85892791723,7.88903153004431
6,1706.2078068549,7.44202853004431,7183.36726159355,8.87952353004431,2986.01060612712,8.00169353004431
7,1707.45208583068,7.44275753004431,9583.05324042622,9.16775153004431,3342.10300499828,8.11435553004431
8,1708.69727221654,7.44348653004431,12784.3817619971,9.45597953004431,3740.66069058799,8.22701753004431
9,1709.94336667423,7.44421553004431,17055.1506848578,9.74420753004431,4186.74779956922,8.33967953004431
10,1711.19036986598,7.44494453004431,22752.6188046003,10.0324355300443,4686.03238494811,8.45234153004431
11,1712.43828245448,7.4456735300443,30353.3913029024,10.3206635300443,5244.85843523745,8.56500353004431
12,1713.68710510294,7.4464025300443,40493.2887725799,10.6088915300443,5870.32648217306,8.67766553004431
13,1714.93683847503,7.4471315300443,54020.5349463786,10.8971195300443,6570.38382118738,8.79032753004431
14,1716.1874832349,7.4478605300443,72066.7123947954,11.1853475300443,7353.92549099592,8.90298953004431
15,1717.43904004721,7.4485895300443,96141.4217861669,11.4735755300443,8230.90729535895,9.01565153004431
16,1718.69150957708,7.4493185300443,128258.563155063,11.7618035300443,9212.47230309078,9.12831353004431
17,1719.94489249012,7.4500475300443,171104.802872473,12.0500315300443,10311.0924336457,9.24097553004431
18,1721.19918945244,7.4507765300443,228264.318933874,12.3382595300443,11540.7269272892,9.35363753004431
19,1722.45440113062,7.4515055300443,304518.624980854,12.6264875300443,12916.9997134014,9.46629953004431
20,1723.71052819173,7.4522345300443,406246.55396577,12.9147155300443,14457.3979305829,9.57896153004431
21,1724.96757130332,7.4529635300443,541957.860933595,13.2029435300443,16181.4941209891,9.69162353004431
22,1726.22553113345,7.4536925300443,723005.081915024,13.4911715300443,18111.1949221313,9.80428553004431
23,1727.48440835064,7.4544215300443,964533.197423261,13.7793995300443,20271.0194160602,9.91694753004431
24,1728.74420362391,7.4551505300443,1286746.54190174,14.0676275300443,22688.410672681,10.0296095300443
25,1730.00491762277,7.4558795300443,1716598.93876054,14.3558555300443,25394.0844457182,10.1422715300443
26,1731.26655101722,7.4566085300443,2290048.44434921,14.6440835300443,28422.4194519159,10.2549335300443
27,1732.52910447773,7.4573375300443,3055065.31493774,14.9323115300443,31811.8941924233,10.3675955300443
28,1733.79257867529,7.4580665300443,4075644.81946494,15.2205395300443,35605.575866685,10.4802575300443
29,1735.05697428134,7.4587955300443,5437160.57827391,15.5087675300443,39851.6675910549,10.5929195300443
30,1736.32229196785,7.4595245300443,7253506.24586981,15.7969955300443,44604.1208751778,10.7055815300443
